source,target,strength
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x5ca86163504cd152fa87a1ee781b8f63469f7f99,7.81819197
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x19d575042646736425756eb5545c60a477ce8344,4.97406719
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xf6506c6a03deee7fcafb1763c3598b6bb5c3146a,8.17836682
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x3d798761b43beeca9b8fc9023456771156c4a4d3,2.19651
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x52195c59e56bce339b5dc0f317721886ff3fbe28,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x6b22f32c94f3edd8f0eedb189a1037b80453c559,3.89033292
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x3e315fbba79b5127b0861c02527fb470d09f69d2,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x9df1938f41833123e912a5cc73d36bb2641914cd,146.000189
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x28f367d306c55706c0511c3ff5fe91411810649a,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x318539853cebb3d4a54d5e69854bbc863cdf6f37,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x1f4aa88663f0102caa1495fea4e5fb8fb55d0b12,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x193b1835df7e5f3253fbf8b94711409773131c93,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x6676cbbf05223de16f7ebf3f79a2cc9dfea13cf9,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x63cee5201cbb438f592e023bb9543841f1f09b68,52.28411799
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x279060850a58f4bb31877d9853f1fa7d9ac00ead,41.52146326
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xff0a07f8500f206e145614e713925af50bcd80c3,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x3dfe49e458f7058dbd53e8559b25dd6f3938ae6d,2.00069
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x0e89464fca467d0b6d32c814478bdb5098bec289,5.09936861
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x17205c65d4b027de55c96bbf1eb212c281bb66ce,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x59af6906606724a185d5223b2fb4825bc9110970,37500.00021
0x7fa914629011b1aa4825646d2fa7d607d60d7203,0x824f990022b5f22896375d6cf209e6bbce13f917,9
0x88b5fe7e074d8ba72ef22f40d825a624ffed05b0,0xaeada44cdc881e0dc4f52c63ece2d3a98a7c70fb,6.35
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x336b519ff483b4fd34ba1d81292502bd758ae948,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x87aa92a1bcc1f386e9da2e558d919b36956e4942,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x789005aa396557b9e8fd6f8f590d331a5d86d926,8.611824
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x5d1f1b8570972b6e26302ac4073158ca13310540,83.5572966
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x1fc246ebd22342d61d5a773a863c2fb4a7da6e81,365.81312799
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x7fa914629011b1aa4825646d2fa7d607d60d7203,9.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x7e0f99c9d0dcee7991e7f1bfd9a6ff31f8de1a1c,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x9780c30068c332424cc1c3abb25ca58ca83bc21e,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x7cc40912dcbf587af835c0fcbbe48aeb2c37078e,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x5fd599597ef23ca81365dca05ce65a53fcc09a87,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x59292f9b07a353993e1f281f905d545c331e7348,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x9740715d65ade931b5216b6888e22219d3441830,60.000189
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xb83bba18bfada20c02cef62d4e448fe0a39fc634,2.19929111
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x41db2b1f78d5017f033bf6a1cf41e4adbb81017b,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x1c1e26c7bb9a7fda2bd52d4c80b61c318b5d943a,4.51440317
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x3d27d554661a8b18d203d3ebca3f6758b4a90174,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x6a7112be68da4a441ad5266f057354cf36fbcf37,49.34979285
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0xf95393a61b6c87d54a0aeeb673f1dcf73b636d85,4.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x68e1eaa51b92354af2c319e13b264bf0368b6c43,37500.00021
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x390ae18ce688ef4f8ad58332d90adab2c2cec754,171.40540277
0x0af5035a8dff53f5a89bfc083fdec94c7332ad7a,0x50e0b952513f9faf0a681c4618f83b3fae639c6a,3.06164452
0x7e0f99c9d0dcee7991e7f1bfd9a6ff31f8de1a1c,0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,37500
0xc076a3aba42f2719a8105a43b11f38ab2bd175fb,0x8b83b9c4683aa4ec897c569010f09c6d04608163,37500
0x28f367d306c55706c0511c3ff5fe91411810649a,0x091933ee1088cdf5daace8baec0997a4e93f0dd6,37500
